code;name;location;reference product;categories;classifications;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location
0081ee4dc9e8d60c3e3eab576e60903f;pipeline construction, natural gas, long distance, high capacity, offshore;GLO;pipeline, natural gas, long distance, high capacity, offshore;;[('EcoSpold01Categories', 'natural gas/production'), ('ISIC rev.4 ecoinvent', '4220:Construction of utility projects'), ('CPC', '53241: Long-distance pipelines')];market for hazardous waste, for incineration;-363.86;kilogram;hazardous waste, for incineration;1130.0;technosphere;Europe without Switzerland
0081ee4dc9e8d60c3e3eab576e60903f;pipeline construction, natural gas, long distance, high capacity, offshore;GLO;pipeline, natural gas, long distance, high capacity, offshore;;[('EcoSpold01Categories', 'natural gas/production'), ('ISIC rev.4 ecoinvent', '4220:Construction of utility projects'), ('CPC', '53241: Long-distance pipelines')];market for hazardous waste, for incineration;-9.51108068243275;kilogram;hazardous waste, for incineration;1130.0;technosphere;CH
0081ee4dc9e8d60c3e3eab576e60903f;pipeline construction, natural gas, long distance, high capacity, offshore;GLO;pipeline, natural gas, long distance, high capacity, offshore;;[('EcoSpold01Categories', 'natural gas/production'), ('ISIC rev.4 ecoinvent', '4220:Construction of utility projects'), ('CPC', '53241: Long-distance pipelines')];market for hazardous waste, for incineration;-756.628919317567;kilogram;hazardous waste, for incineration;1130.0;technosphere;RoW
0099674a8d65a36f227b037d17a3f5f5;titanium dioxide production, sulfate process;RER;titanium dioxide;;[('ISIC rev.4 ecoinvent', '2011:Manufacture of basic chemicals'), ('CPC', '14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)')];market for hazardous waste, for incineration;-0.00682168526642358;kilogram;hazardous waste, for incineration;3140900.0;technosphere;Europe without Switzerland
0099674a8d65a36f227b037d17a3f5f5;titanium dioxide production, sulfate process;RER;titanium dioxide;;[('ISIC rev.4 ecoinvent', '2011:Manufacture of basic chemicals'), ('CPC', '14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)')];market for hazardous waste, for incineration;-0.000178314733576423;kilogram;hazardous waste, for incineration;3140900.0;technosphere;CH
01883fa74eceb23908cd79e2e47f5ed6;electricity production, nuclear, pressure water reactor;CZ;electricity, high voltage;;[('ISIC rev.4 ecoinvent', '3510:Electric power generation, transmission and distribution'), ('CPC', '17100: Electrical energy')];market for hazardous waste, for incineration;-9.7e-07;kilogram;hazardous waste, for incineration;0.0;technosphere;Europe without Switzerland
01a10ddc0af72142ecd7c69220eb5f1e;market for waste polyvinylchloride;AT;waste polyvinylchloride;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyvinylchloride, municipal incineration;-0.933487623264238;kilogram;waste polyvinylchloride;0.0;technosphere;RoW
01a5859726760a6497f7e480edef3563;polylactide production, granulate;GLO;polylactide, granulate;;[('ISIC rev.4 ecoinvent', '2013:Manufacture of plastics and synthetic rubber in primary forms'), ('EcoSpold01Categories', 'plastics/polymers'), ('CPC', '347: Plastics in primary forms')];market for hazardous waste, for incineration;-0.0020608;kilogram;hazardous waste, for incineration;0.0064;technosphere;Europe without Switzerland
01a5859726760a6497f7e480edef3563;polylactide production, granulate;GLO;polylactide, granulate;;[('ISIC rev.4 ecoinvent', '2013:Manufacture of plastics and synthetic rubber in primary forms'), ('EcoSpold01Categories', 'plastics/polymers'), ('CPC', '347: Plastics in primary forms')];market for hazardous waste, for incineration;-5.386806758192e-05;kilogram;hazardous waste, for incineration;0.0064;technosphere;CH
01a5859726760a6497f7e480edef3563;polylactide production, granulate;GLO;polylactide, granulate;;[('ISIC rev.4 ecoinvent', '2013:Manufacture of plastics and synthetic rubber in primary forms'), ('EcoSpold01Categories', 'plastics/polymers'), ('CPC', '347: Plastics in primary forms')];market for hazardous waste, for incineration;-0.00428533193241808;kilogram;hazardous waste, for incineration;0.0064;technosphere;RoW
01ad6952e7a92a51ee88c425b70f8145;market for waste packaging paper;BE;waste packaging paper;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39240: Waste and scrap of paper or paperboard')];treatment of waste packaging paper, municipal incineration;-0.982431807674526;kilogram;waste packaging paper;0.0;technosphere;RoW
01be09d7cbb76ddb87900cc233b18b20;market for waste polyurethane;ES;waste polyurethane;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyurethane, municipal incineration;-0.193370165745856;kilogram;waste polyurethane;0.0;technosphere;RoW
02990396b7589fc5782055bfcbd554ed;fluorescent whitening agent production, DAS1, triazinylaminostilben type;RER;fluorescent whitening agent, DAS1, triazinylaminostilben type;;"[('EcoSpold01Categories', 'washing agents/auxiliary agents'), ('ISIC rev.4 ecoinvent', '2011:Manufacture of basic chemicals'), ('CPC', '34310: Synthetic organic colouring matter and preparations based thereon; synthetic organic products of a kind used a[…]')]";market for hazardous waste, for incineration;-1.47153496461423e-09;kilogram;hazardous waste, for incineration;1.99677780390139e-09;technosphere;Europe without Switzerland
02990396b7589fc5782055bfcbd554ed;fluorescent whitening agent production, DAS1, triazinylaminostilben type;RER;fluorescent whitening agent, DAS1, triazinylaminostilben type;;"[('EcoSpold01Categories', 'washing agents/auxiliary agents'), ('ISIC rev.4 ecoinvent', '2011:Manufacture of basic chemicals'), ('CPC', '34310: Synthetic organic colouring matter and preparations based thereon; synthetic organic products of a kind used a[…]')]";market for hazardous waste, for incineration;-3.84650353857713e-11;kilogram;hazardous waste, for incineration;1.99677780390139e-09;technosphere;CH
02f65b63812679c0bfeb06ca35351e93;potassium chloride production;CA-SK;potassium chloride, as K2O;;[('EcoSpold01Categories', 'agricultural means of production/mineral fertiliser'), ('ISIC rev.4 ecoinvent', '2012:Manufacture of fertilizers and nitrogen compounds'), ('CPC', '34631: Potassium chloride (muriate of potash)')];market for hazardous waste, for incineration;-0.000316;kilogram;hazardous waste, for incineration;3002000.0;technosphere;RoW
